Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R20,C@R25,C@R30,C@R35,C@R40
NoT,0.16332800207316367,0.07499999999999996,0.09999999999999998,0.13124999999999998,0.16666666666666663,0.234375,0.69375,0.86875,1.0,1.0,1.0
TS,0.1591459783129997,0.06874999999999998,0.08750000000000002,0.12812500000000004,0.16249999999999998,0.22968750000000004,0.71125,0.8725,1.0,1.0,1.0
