R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.20249999999999999,0.6899316766811918,0.425,0.17647058823529416,85,0.3925,0.12420382165605093,314
0.2525,0.6640177709597712,0.445,0.1797752808988764,89,0.42,0.12797619047619047,336
0.3025,0.5850085257982663,0.56,0.1964285714285714,112,0.5325,0.15492957746478875,426
0.3525,0.5819101240272269,0.56,0.1964285714285714,112,0.5375,0.1581395348837209,430
0.40249999999999997,0.533884896576116,0.625,0.21599999999999997,125,0.615,0.16463414634146345,492
