Model,Best CAL Ratio (%),Best CAL Samples,ECE_TS,NLL_TS,Brier_TS,AURC_TS
DeBERTa-NLI,5.0,50.0,0.0519949329858391,0.8059531556113751,0.4314093201220762,0.1700210887083451
RoBERTa-Race,5.0,50.0,0.030972461999097,1.21292518083344,0.6524470453272523,0.4024998012904232
T5-XL,5.0,50.0,0.0289344506450752,1.3853833144782297,0.7474090655863208,0.6723639637156966
Phi-3.5-Mini,40.0,400.0,0.0382790058695291,0.7048486840541064,0.3656527216479353,0.1085720881803723
