Method,Accuracy,NLL,ECE,Brier
NoTS,0.6944444444444444,0.934569437684772,0.2224415467880671,0.4979157797255507
TS,0.6944444444444444,0.8267391135867196,0.12520832281930314,0.4412309956952269
