R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.20555555555555557,0.6131895608608373,0.43,0.18604651162790697,43,0.41555555555555557,0.1336898395721925,374
0.2555555555555556,0.6049310603341667,0.43,0.18604651162790697,43,0.42777777777777776,0.1350649350649351,385
0.3055555555555556,0.47079299117369733,0.65,0.23076923076923073,65,0.6666666666666666,0.19666666666666666,600
0.35555555555555557,0.47054273358198007,0.66,0.2272727272727273,66,0.6666666666666666,0.19666666666666666,600
0.40555555555555556,0.4701673471944041,0.66,0.2272727272727273,66,0.6677777777777778,0.19633943427620637,601
