Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R20,C@R25,C@R30,C@R35,C@R40
NoT,0.1668027840020339,0.07222222222222219,0.10370370370370374,0.13611111111111107,0.17407407407407405,0.2416666666666667,0.69,0.87,1.0,1.0,1.0
TS,0.16344773205721608,0.07222222222222219,0.09629629629629632,0.1333333333333333,0.1703703703703704,0.23888888888888893,0.6988888888888889,0.87,1.0,1.0,1.0
