Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R15,C@R20,C@R25,C@R30,C@R35
NoT,0.10706815613916731,0.050000000000000044,0.05833333333333335,0.07187500000000002,0.12916666666666665,0.18125000000000002,0.7475,0.8475,1.0,1.0,1.0
TS,0.10541009237400334,0.03125,0.054166666666666696,0.07187500000000002,0.12708333333333333,0.1796875,0.72875,0.86375,1.0,1.0,1.0
