R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.15124999999999997,0.8713515656020003,0.195,0.02564102564102566,39,0.14125,0.008849557522123908,113
0.20124999999999996,0.7988384952865524,0.455,0.1208791208791209,91,0.35125,0.06049822064056942,281
0.25125,0.7959948454702603,0.455,0.1208791208791209,91,0.3625,0.06206896551724139,290
0.30124999999999996,0.7426764114147839,0.55,0.1454545454545455,110,0.48625,0.09511568123393321,389
0.35124999999999995,0.5596164544909819,0.75,0.19333333333333336,150,0.75,0.15500000000000003,600
