R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.16,0.8294442791164027,0.4025,0.09316770186335399,161,0.36,0.06481481481481477,216
0.21,0.7754168839028303,0.51,0.11274509803921573,204,0.48833333333333334,0.10238907849829348,293
0.26,0.7751718617023152,0.51,0.11274509803921573,204,0.48833333333333334,0.10238907849829348,293
0.31,0.5920177668173021,0.76,0.17105263157894735,304,0.7216666666666667,0.1524249422632794,433
0.36,0.5856471896039104,0.7675,0.17263843648208466,307,0.7283333333333334,0.1533180778032036,437
