Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R16,C@R21,C@R26,C@R31,C@R36
NoT,0.1097125299566534,0.050000000000000044,0.061111111111111116,0.07916666666666672,0.12777777777777777,0.18333333333333335,0.755,0.8583333333333333,1.0,1.0,1.0
TS,0.10857208818037238,0.04166666666666663,0.05555555555555558,0.0708333333333333,0.13055555555555554,0.1875,0.745,0.8683333333333333,1.0,1.0,1.0
