Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R43,C@R48,C@R53,C@R58,C@R63
NoT,0.40047078613869835,0.31666666666666665,0.3944444444444445,0.4041666666666667,0.4388888888888889,0.4854166666666667,0.5933333333333334,0.8016666666666666,1.0,1.0,1.0
TS,0.3935975779922367,0.33333333333333337,0.36111111111111116,0.3666666666666667,0.4444444444444444,0.48750000000000004,0.63,0.805,1.0,1.0,1.0
