R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.43666666666666665,0.6310987674067537,0.1375,0.21818181818181814,55,0.12166666666666667,0.3287671232876712,73
0.48666666666666664,0.4440184980122419,0.51,0.4019607843137255,204,0.53,0.42452830188679247,318
0.5366666666666666,0.4197161093191928,0.6,0.4208333333333333,240,0.5966666666666667,0.44134078212290506,358
0.5866666666666667,0.4195958004642767,0.6025,0.41908713692946054,241,0.5983333333333334,0.4428969359331476,359
0.6366666666666666,0.4195958004642767,0.6025,0.41908713692946054,241,0.5983333333333334,0.4428969359331476,359
