Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R43,C@R48,C@R53,C@R58,C@R63
NoT,0.40972803216240605,0.32105263157894737,0.4035087719298246,0.40263157894736845,0.43508771929824563,0.493421052631579,0.6063157894736843,0.7694736842105263,1.0,1.0,1.0
TS,0.4024998012904232,0.34736842105263155,0.368421052631579,0.381578947368421,0.4385964912280702,0.493421052631579,0.611578947368421,0.7757894736842105,1.0,1.0,1.0
