Method,Accuracy,NLL,ECE,Brier
NoTS,0.7016666666666667,0.9308752445249886,0.22761030825740264,0.49422430317308186
TS,0.7016666666666667,0.7840599786450608,0.053318919608201606,0.41570644869273965
