R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.6150000000000001,0.3174296294393457,0.3125,0.5840000000000001,125,0.32,0.6979166666666667,192
0.665,0.27946924645749016,0.7875,0.6285714285714286,315,0.8083333333333333,0.6927835051546392,485
0.7150000000000001,0.2793390221590961,0.7925,0.6277602523659306,317,0.8083333333333333,0.6927835051546392,485
0.7650000000000001,0.27797166702595894,0.81,0.632716049382716,324,0.825,0.694949494949495,495
0.8150000000000001,0.27784144272756495,0.8125,0.6307692307692307,325,0.8283333333333334,0.6961770623742455,497
