Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R61,C@R66,C@R71,C@R76,C@R81
NoT,0.7066088742751342,0.6916666666666667,0.6944444444444444,0.7041666666666666,0.7,0.6916666666666667,0.008333333333333333,0.18333333333333332,1.0,1.0,1.0
TS,0.7098530812741859,0.6916666666666667,0.7055555555555555,0.7041666666666666,0.7055555555555555,0.6916666666666667,0.008333333333333333,0.008333333333333333,1.0,1.0,1.0
