Ratio (%),DeBERTa-NLI (NoTS),DeBERTa-NLI (TS),RoBERTa-RACE (NoTS),RoBERTa-RACE (TS),FLAN-T5-XL (NoTS),FLAN-T5-XL (TS),Phi-3.5-Mini (NoTS),Phi-3.5-Mini (TS)
5,0.6873684210526316,0.6873684210526316,0.4642105263157894,0.4642105263157894,0.3,0.3,0.7463157894736843,0.7463157894736843
10,0.6944444444444444,0.6944444444444444,0.4688888888888889,0.4688888888888889,0.2988888888888888,0.2988888888888888,0.7466666666666667,0.7466666666666667
20,0.6975,0.6975,0.46875,0.46875,0.295,0.295,0.74875,0.74875
40,0.7016666666666667,0.7016666666666667,0.4633333333333333,0.4633333333333333,0.285,0.285,0.74,0.74
