Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R21,C@R26,C@R31,C@R36,C@R41
NoT,0.17432487062826652,0.08947368421052626,0.11228070175438598,0.14210526315789473,0.18070175438596492,0.24473684210526314,0.6968421052631579,0.8705263157894737,1.0,1.0,1.0
TS,0.17002108870834512,0.08421052631578951,0.10175438596491226,0.13421052631578945,0.1719298245614035,0.24342105263157898,0.7136842105263158,0.8726315789473684,1.0,1.0,1.0
