Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R60,C@R65,C@R70,C@R75,C@R80
NoT,0.6706167425003351,0.6666666666666667,0.674074074074074,0.6722222222222223,0.674074074074074,0.6736111111111112,0.03,0.23555555555555555,1.0,1.0,1.0
TS,0.6729447214025587,0.6555555555555556,0.6777777777777778,0.6722222222222223,0.6796296296296296,0.6722222222222223,0.03,0.19666666666666666,1.0,1.0,1.0
