R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.1533333333333333,0.8117045030009487,0.22,0.0,22,0.23666666666666666,0.05633802816901412,213
0.20333333333333328,0.7776224869071215,0.38,0.07894736842105265,38,0.32666666666666666,0.06462585034013602,294
0.2533333333333333,0.7666905194807998,0.46,0.10869565217391308,46,0.35777777777777775,0.0714285714285714,322
0.3033333333333333,0.7627250018849772,0.46,0.10869565217391308,46,0.3688888888888889,0.06927710843373491,332
0.3533333333333333,0.7117091538954751,0.55,0.1454545454545455,55,0.48777777777777775,0.10250569476082005,439
