Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R43,C@R48,C@R53,C@R58,C@R63
NoT,0.40731182003962124,0.31666666666666665,0.39629629629629626,0.4,0.43518518518518523,0.48888888888888893,0.58,0.7644444444444445,1.0,1.0,1.0
TS,0.4003647685719727,0.34444444444444444,0.3740740740740741,0.37777777777777777,0.437037037037037,0.48888888888888893,0.54,0.7722222222222223,1.0,1.0,1.0
