Method,Accuracy,NLL,ECE,Brier
NoTS,0.4688888888888889,2.4421239645609027,0.3559181952142121,0.8335461940650756
TS,0.4688888888888889,1.2077366058876213,0.04450290812189098,0.6503244768443346
