Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R43,C@R48,C@R53,C@R58,C@R63
NoT,0.3989447699118193,0.30000000000000004,0.37916666666666665,0.38749999999999996,0.4291666666666667,0.4859375,0.6175,0.7825,1.0,1.0,1.0
TS,0.3933138719710445,0.3375,0.3583333333333333,0.36875,0.4291666666666667,0.48750000000000004,0.62625,0.7775,1.0,1.0,1.0
