R_target,tau,cov_cal,risk_cal,n_cal,cov_test,risk_test,n_test
0.6050000000000001,0.3182164968655384,0.3,0.5666666666666667,60,0.31,0.6814516129032258,248
0.655,0.28663513146475555,0.685,0.6204379562043796,137,0.67875,0.6758747697974217,543
0.7050000000000001,0.28649222935886964,0.69,0.6159420289855073,138,0.68375,0.676416819012797,547
0.7550000000000001,0.27939475809987024,0.805,0.6335403726708074,161,0.80125,0.6755070202808112,641
0.805,0.27201148262909897,0.945,0.656084656084656,189,0.905,0.6933701657458564,724
