Method,AURC,R@C20,R@C30,R@C40,R@C60,R@C80,C@R60,C@R65,C@R70,C@R75,C@R80
NoT,0.6766861033538548,0.65625,0.6666666666666667,0.678125,0.6770833333333333,0.6765625,0.16375,0.2425,1.0,1.0,1.0
TS,0.6794984935932866,0.65625,0.6833333333333333,0.675,0.6875,0.675,0.025,0.21375,1.0,1.0,1.0
